Code, Province, Last Updated, Population, Area, GDP, Density
ON, Ontario, 2020-07-18T14:38:48.000000Z, 14711827, 917741, 857384, 16.030478097851137
 QC, Quebec, 2020-07-18T15:04:28.000000Z, 8537674, 1356128, 439375, 6.295625486679723
 NS, Nova Scotia, 2020-07-18T14:46:53.000000Z, 977457, 53338, 44354, 18.325715249915632
 NB, New Brunswick, 2020-07-18T14:38:42.000000Z, 779993, 71450, 36966, 10.91662701189643
 MB, Manitoba, 2020-07-18T14:38:42.000000Z, 1377517, 553556, 72688, 2.488487162997059
 BC, British Columbia, 2020-07-18T14:38:42.000000Z, 5110917, 925186, 295401, 5.524204862589793
 PE, Prince Edward Island, 2020-07-18T14:38:42.000000Z, 158158, 5660, 6994, 27.943109540636044
 SK, Saskatchewan, 2020-07-18T14:38:42.000000Z, 1181666, 591670, 80679, 1.997170720164957
 AB, Alberta, 2020-07-18T14:38:42.000000Z, 4413146, 642317, 344812, 6.870666664590848
 NL, Newfoundland and Labrador, 2020-07-18T14:38:42.000000Z, 521365, 373872, 33241, 1.3945013266572517
 NT, Northwest Territories, 2020-07-18T14:38:42.000000Z, 44904, 1183085, 4730, 0.037955007459311886
 YT, Yukon, 2020-07-18T14:38:42.000000Z, 41078, 474391, 3046, 0.0865910188009469
 NU, Nunavut, 2020-07-18T14:38:42.000000Z, 39097, 1936113, 3421, 0.020193552752344517
 _RC, Repatriated Canadians, null, null, null, null, null